"HHID","WillingShareData_HCP2","Age","Education","CENSREG","RUC2003","Weight","WillingShareData_HCP2_numeric"
"72220127","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","South","County in metro area with 1 million population or more",-7,NA
"72220130","Inapplicable, coded 2 in WearableDevTrackHealth2",40,"Some college","South","County in metro area with 1 million population or more",155,NA
"72220131","Inapplicable, coded 2 in WearableDevTrackHealth2",55,"12 years or completed high school","South","County in metro area with 1 million population or more",165,NA
"72220134","No",51,"Postgraduate","Midwest","County in metro area of 250,000 to 1 million population",190,0
"72220138","Inapplicable, coded 2 in WearableDevTrackHealth2",41,"12 years or completed high school","Midwest","County in metro area of fewer than 250,000 population",235,NA
"72220141","Inapplicable, coded 2 in WearableDevTrackHealth2",55,"Post high school training other than college (vocational or technical)","West","County in metro area of fewer than 250,000 population",210,NA
"72220143","No",25,"Postgraduate","South","County in metro area with 1 million population or more",145,0
"72220145","Yes",25,"Some college","South","County in metro area of 250,000 to 1 million population",185,1
"72220149","Inapplicable, coded 2 in WearableDevTrackHealth2",78,"Postgraduate","South","County in metro area with 1 million population or more",140,NA
"72220155","Inapplicable, coded 2 in WearableDevTrackHealth2",69,"College graduate","South","County in metro area of fewer than 250,000 population",135,NA
"72220156","Yes",41,"Postgraduate","West","County in metro area with 1 million population or more",160,1
"72220165","Inapplicable, coded 2 in WearableDevTrackHealth2",45,"Some college","South","County in metro area of fewer than 250,000 population",118,NA
"72220166","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","Northeast","County in metro area with 1 million population or more",113,NA
"72220169","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",212,NA
"72220174","Inapplicable, coded 2 in WearableDevTrackHealth2",63,"Postgraduate","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",166,NA
"72220184","Yes",24,"8 through 11 years","South","County in metro area of fewer than 250,000 population",189,1
"72220196","No",62,"Some college","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",180,0
"72220207","Yes",64,"Some college","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",192,1
"72220211","Inapplicable, coded 2 in WearableDevTrackHealth2",68,"Postgraduate","South","County in metro area of 250,000 to 1 million population",133,NA
"72220215","No",-7,"Missing data (Web partial - Question Never Seen)","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",-7,0
"72220217","No",-7,"Missing data (Web partial - Question Never Seen)","South","County in metro area of 250,000 to 1 million population",-7,0
"72220219","Inapplicable, coded 2 in WearableDevTrackHealth2",57,"12 years or completed high school","South","County in metro area with 1 million population or more",190,NA
"72220222","No",-7,"Missing data (Web partial - Question Never Seen)","South","County in metro area with 1 million population or more",-7,0
"72220223","Yes",34,"College graduate","West","County in metro area of fewer than 250,000 population",215,1
"72220226","Yes",51,"Less than 8 years","South","County in metro area with 1 million population or more",165,1
"72220231","Yes",55,"Some college","South","County in metro area with 1 million population or more",161,1
"72220236","Inapplicable, coded 2 in WearableDevTrackHealth2",56,"College graduate","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",235,NA
"72220240","No",33,"Postgraduate","West","County in metro area with 1 million population or more",200,0
"72220244","Inapplicable, coded 2 in WearableDevTrackHealth2",48,"College graduate","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",192,NA
"72220249","Inapplicable, coded 2 in WearableDevTrackHealth2",60,"12 years or completed high school","South","County in metro area of 250,000 to 1 million population",140,NA
"72220250","Inapplicable, coded 2 in WearableDevTrackHealth2",67,"12 years or completed high school","Northeast","County in metro area of 250,000 to 1 million population",230,NA
"72220267","Yes",35,"12 years or completed high school","South","County in metro area with 1 million population or more",187,1
"72220271","No",24,"Postgraduate","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",175,0
"72220276","Inapplicable, coded 2 in WearableDevTrackHealth2",31,"12 years or completed high school","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",280,NA
"72220282","Inapplicable, coded 2 in WearableDevTrackHealth2",51,"College graduate","South","County in metro area of 250,000 to 1 million population",230,NA
"72220287","Inapplicable, coded 2 in WearableDevTrackHealth2",60,"College graduate","South","County in metro area with 1 million population or more",180,NA
"72220290","Yes",-7,"Missing data (Web partial - Question Never Seen)","West","County in metro area with 1 million population or more",-7,1
"72220291","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","South","County in metro area of 250,000 to 1 million population",-7,NA
"72220305","Inapplicable, coded 2 in WearableDevTrackHealth2",33,"Postgraduate","West","County in metro area with 1 million population or more",150,NA
"72220306","Inapplicable, coded 2 in WearableDevTrackHealth2",75,"Postgraduate","Northeast","County in metro area with 1 million population or more",180,NA
"72220307","Yes",27,"College graduate","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",150,1
"72220311","Inapplicable, coded 2 in WearableDevTrackHealth2",40,"Some college","South","County in metro area of 250,000 to 1 million population",270,NA
"72220315","Yes",35,"Postgraduate","South","County in metro area with 1 million population or more",170,1
"72220321","Inapplicable, coded 2 in WearableDevTrackHealth2",76,"Some college","West","County in metro area with 1 million population or more",205,NA
"72220323","Inapplicable, coded 2 in WearableDevTrackHealth2",56,"College graduate","South","County in metro area with 1 million population or more",190,NA
"72220332","Yes",73,"College graduate","South","County in metro area with 1 million population or more",180,1
"72220333","Yes",75,"Some college","West","County in metro area with 1 million population or more",148,1
"72220334","Question answered in error (Commission Error)",-9,"Missing data (Not Ascertained)","South","County in metro area with 1 million population or more",112,NA
"72220336","Question answered in error (Commission Error)",62,"8 through 11 years","Midwest","County in metro area with 1 million population or more",165,NA
"72220337","Yes",68,"Some college","West","County in metro area with 1 million population or more",140,1
"72220342","Question answered in error (Commission Error)",81,"Some college","South","County in metro area of 250,000 to 1 million population",175,NA
"72220345","Inapplicable, coded 2 in WearableDevTrackHealth2",53,"College graduate","Midwest","County in metro area with 1 million population or more",150,NA
"72220347","Inapplicable, coded 2 in WearableDevTrackHealth2",38,"College graduate","West","County in metro area with 1 million population or more",120,NA
"72220354","Inapplicable, coded 2 in WearableDevTrackHealth2",60,"Post high school training other than college (vocational or technical)","Midwest","County in metro area with 1 million population or more",112,NA
"72220357","No",67,"College graduate","South","County in metro area of fewer than 250,000 population",220,0
"72220358","Inapplicable, coded 2 in WearableDevTrackHealth2",30,"Post high school training other than college (vocational or technical)","West","County in metro area with 1 million population or more",185,NA
"72220359","Inapplicable, coded 2 in WearableDevTrackHealth2",59,"8 through 11 years","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",120,NA
"72220368","Inapplicable, coded 2 in WearableDevTrackHealth2",64,"12 years or completed high school","Northeast","County in metro area with 1 million population or more",175,NA
"72220382","Inapplicable, coded 2 in WearableDevTrackHealth2",75,"College graduate","Midwest","County in metro area of 250,000 to 1 million population",135,NA
"72220386","Missing data (Filter Missing)",81,"Postgraduate","West","County in metro area of fewer than 250,000 population",185,NA
"72220391","Yes",63,"College graduate","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",107,1
"72220394","Inapplicable, coded 2 in WearableDevTrackHealth2",24,"8 through 11 years","South","County in metro area with 1 million population or more",115,NA
"72220399","Inapplicable, coded 2 in WearableDevTrackHealth2",66,"Postgraduate","Northeast","County in metro area with 1 million population or more",183,NA
"72220404","Inapplicable, coded 2 in WearableDevTrackHealth2",74,"Postgraduate","South","County in metro area with 1 million population or more",90,NA
"72220405","Yes",64,"Postgraduate","South","County in metro area with 1 million population or more",195,1
"72220407","Inapplicable, coded 2 in WearableDevTrackHealth2",65,"12 years or completed high school","West","County in metro area with 1 million population or more",299,NA
"72220408","Inapplicable, coded 2 in WearableDevTrackHealth2",78,"8 through 11 years","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",143,NA
"72220413","Inapplicable, coded 2 in WearableDevTrackHealth2",69,"Postgraduate","South","County in metro area with 1 million population or more",255,NA
"72220415","Inapplicable, coded 2 in WearableDevTrackHealth2",65,"Postgraduate","South","County in metro area with 1 million population or more",180,NA
"72220417","Inapplicable, coded 2 in WearableDevTrackHealth2",74,"Less than 8 years","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",200,NA
"72220419","Inapplicable, coded 2 in WearableDevTrackHealth2",34,"12 years or completed high school","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",240,NA
"72220423","Yes",36,"Postgraduate","South","County in metro area with 1 million population or more",215,1
"72220424","Inapplicable, coded 2 in WearableDevTrackHealth2",43,"Some college","South","County in metro area of 250,000 to 1 million population",179,NA
"72220425","Yes",-7,"Missing data (Web partial - Question Never Seen)","South","County in metro area of 250,000 to 1 million population",280,1
"72220433","Question answered in error (Commission Error)",72,"8 through 11 years","Northeast","County in metro area with 1 million population or more",195,NA
"72220438","Inapplicable, coded 2 in WearableDevTrackHealth2",19,"12 years or completed high school","Northeast","County in metro area with 1 million population or more",232,NA
"72220444","Inapplicable, coded 2 in WearableDevTrackHealth2",80,"College graduate","Midwest","County in metro area with 1 million population or more",154,NA
"72220447","Inapplicable, coded 2 in WearableDevTrackHealth2",39,"Postgraduate","Northeast","County in metro area with 1 million population or more",130,NA
"72220448","Yes",53,"College graduate","South","County in metro area with 1 million population or more",237,1
"72220452","Inapplicable, coded 2 in WearableDevTrackHealth2",51,"Some college","Northeast","County in metro area of 250,000 to 1 million population",145,NA
"72220453","No",-7,"Missing data (Web partial - Question Never Seen)","Midwest","County in metro area with 1 million population or more",-7,0
"72220454","Yes",28,"College graduate","South","County in metro area of 250,000 to 1 million population",260,1
"72220460","Inapplicable, coded 2 in WearableDevTrackHealth2",61,"8 through 11 years","West","County in metro area with 1 million population or more",150,NA
"72220467","Inapplicable, coded 2 in WearableDevTrackHealth2",32,"Postgraduate","Northeast","County in metro area with 1 million population or more",125,NA
"72220470","Yes",51,"College graduate","South","County in metro area of 250,000 to 1 million population",141,1
"72220471","Inapplicable, coded 2 in WearableDevTrackHealth2",60,"12 years or completed high school","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",169,NA
"72220474","Inapplicable, coded 2 in WearableDevTrackHealth2",79,"12 years or completed high school","South","County in metro area of fewer than 250,000 population",102,NA
"72220477","Inapplicable, coded 2 in WearableDevTrackHealth2",69,"Some college","West","County in metro area with 1 million population or more",203,NA
"72220479","Question answered in error (Commission Error)",27,"8 through 11 years","South","County in metro area with 1 million population or more",120,NA
"72220484","Inapplicable, coded 2 in WearableDevTrackHealth2",62,"Post high school training other than college (vocational or technical)","West","County in metro area with 1 million population or more",235,NA
"72220485","Inapplicable, coded 2 in WearableDevTrackHealth2",31,"College graduate","Midwest","County in metro area with 1 million population or more",120,NA
"72220487","Inapplicable, coded 2 in WearableDevTrackHealth2",52,"Postgraduate","South","County in metro area with 1 million population or more",195,NA
"72220507","No",19,"12 years or completed high school","South","County in metro area with 1 million population or more",160,0
"72220509","Inapplicable, coded 2 in WearableDevTrackHealth2",39,"College graduate","West","County in metro area with 1 million population or more",190,NA
"72220513","Inapplicable, coded 2 in WearableDevTrackHealth2",88,"Post high school training other than college (vocational or technical)","South","County in metro area with 1 million population or more",120,NA
"72220515","Question answered in error (Commission Error)",60,"College graduate","West","County in metro area with 1 million population or more",186,NA
"72220524","Inapplicable, coded 2 in WearableDevTrackHealth2",68,"Some college","West","County in metro area with 1 million population or more",135,NA
"72220526","Yes",35,"Postgraduate","South","County in metro area with 1 million population or more",185,1
"72220527","Inapplicable, coded 2 in WearableDevTrackHealth2",75,"12 years or completed high school","South","Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro a",135,NA
"72220531","Inapplicable, coded 2 in WearableDevTrackHealth2",24,"College graduate","South","County in metro area of fewer than 250,000 population",150,NA
"72220533","Inapplicable, coded 2 in WearableDevTrackHealth2",32,"12 years or completed high school","South","Nonmetro county with urban population of 20,000 or more, not adjacent to a metro",300,NA
"72220534","Inapplicable, coded 2 in WearableDevTrackHealth2",64,"Postgraduate","South","County in metro area of 250,000 to 1 million population",135,NA
"72220536","Inapplicable, coded 2 in WearableDevTrackHealth2",48,"College graduate","West","County in metro area with 1 million population or more",175,NA
"72220539","Yes",42,"College graduate","West","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",310,1
"72220548","Inapplicable, coded 2 in WearableDevTrackHealth2",67,"College graduate","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",218,NA
"72220550","Inapplicable, coded 2 in WearableDevTrackHealth2",26,"Postgraduate","West","County in metro area with 1 million population or more",250,NA
"72220552","Inapplicable, coded 2 in WearableDevTrackHealth2",54,"College graduate","South","County in metro area with 1 million population or more",140,NA
"72220554","Inapplicable, coded 2 in WearableDevTrackHealth2",92,"8 through 11 years","South","County in metro area with 1 million population or more",102,NA
"72220555","Inapplicable, coded 2 in WearableDevTrackHealth2",60,"Some college","West","County in metro area with 1 million population or more",220,NA
"72220557","Yes",61,"8 through 11 years","South","County in metro area with 1 million population or more",135,1
"72220569","Yes",35,"Postgraduate","South","County in metro area with 1 million population or more",145,1
"72220571","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","South","Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro a",-7,NA
"72220576","Yes",28,"College graduate","South","County in metro area of 250,000 to 1 million population",125,1
"72220585","Inapplicable, coded 2 in WearableDevTrackHealth2",31,"Postgraduate","Northeast","County in metro area with 1 million population or more",140,NA
"72220595","Inapplicable, coded 2 in WearableDevTrackHealth2",32,"College graduate","West","County in metro area with 1 million population or more",130,NA
"72220605","Inapplicable, coded 2 in WearableDevTrackHealth2",56,"Some college","South","Nonmetro county with urban population of 20,000 or more, not adjacent to a metro",158,NA
"72220613","Inapplicable, coded 2 in WearableDevTrackHealth2",31,"Post high school training other than college (vocational or technical)","South","County in metro area with 1 million population or more",165,NA
"72220618","Inapplicable, coded 2 in WearableDevTrackHealth2",53,"College graduate","Midwest","County in metro area with 1 million population or more",205,NA
"72220619","Yes",68,"Post high school training other than college (vocational or technical)","West","County in metro area with 1 million population or more",175,1
"72220621","Inapplicable, coded 2 in WearableDevTrackHealth2",65,"College graduate","South","County in metro area with 1 million population or more",168,NA
"72220633","Yes",68,"Post high school training other than college (vocational or technical)","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",200,1
"72220638","Question answered in error (Commission Error)",35,"8 through 11 years","South","County in metro area of 250,000 to 1 million population",156,NA
"72220649","Yes",29,"Post high school training other than college (vocational or technical)","South","County in metro area of 250,000 to 1 million population",120,1
"72220654","Yes",78,"12 years or completed high school","South","County in metro area of 250,000 to 1 million population",350,1
"72220664","Inapplicable, coded 2 in WearableDevTrackHealth2",54,"College graduate","South","County in metro area with 1 million population or more",149,NA
"72220666","Inapplicable, coded 2 in WearableDevTrackHealth2",30,"12 years or completed high school","Northeast","County in metro area with 1 million population or more",180,NA
"72220667","Inapplicable, coded 2 in WearableDevTrackHealth2",30,"8 through 11 years","South","County in metro area of 250,000 to 1 million population",132,NA
"72220669","Inapplicable, coded 2 in WearableDevTrackHealth2",71,"Postgraduate","Midwest","County in metro area with 1 million population or more",170,NA
"72220671","Question answered in error (Commission Error)",78,"College graduate","South","County in metro area of fewer than 250,000 population",112,NA
"72220674","Missing data (Filter Missing)",73,"Some college","South","Nonmetro county with urban population of 20,000 or more, not adjacent to a metro",178,NA
"72220680","Question answered in error (Commission Error)",64,"12 years or completed high school","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",300,NA
"72220681","Inapplicable, coded 2 in WearableDevTrackHealth2",73,"Postgraduate","South","County in metro area of 250,000 to 1 million population",195,NA
"72220690","Inapplicable, coded 2 in WearableDevTrackHealth2",28,"College graduate","South","County in metro area of 250,000 to 1 million population",185,NA
"72220697","Inapplicable, coded 2 in WearableDevTrackHealth2",61,"Some college","Midwest","County in metro area with 1 million population or more",215,NA
"72220698","Inapplicable, coded 2 in WearableDevTrackHealth2",44,"Postgraduate","West","County in metro area of 250,000 to 1 million population",242,NA
"72220715","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","West","County in metro area with 1 million population or more",-7,NA
"72220717","Yes",47,"College graduate","South","County in metro area with 1 million population or more",158,1
"72220727","No",21,"12 years or completed high school","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",250,0
"72220728","Yes",55,"8 through 11 years","South","County in metro area with 1 million population or more",247,1
"72220729","Inapplicable, coded 2 in WearableDevTrackHealth2",69,"Some college","Midwest","County in metro area with 1 million population or more",211,NA
"72220730","Yes",68,"12 years or completed high school","South","Nonmetro county with urban population of 20,000 or more, not adjacent to a metro",189,1
"72220733","Question answered in error (Commission Error)",75,"Some college","Midwest","County in metro area with 1 million population or more",233,NA
"72220740","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","West","County in metro area of 250,000 to 1 million population",-7,NA
"72220742","Missing data (Filter Missing)",36,"Some college","Midwest","County in metro area with 1 million population or more",125,NA
"72220744","Inapplicable, coded 2 in WearableDevTrackHealth2",86,"Post high school training other than college (vocational or technical)","South","County in metro area of fewer than 250,000 population",165,NA
"72220750","Missing data (Web partial - Question Never Seen)",-7,"Missing data (Web partial - Question Never Seen)","Northeast","County in metro area with 1 million population or more",-7,NA
"72220752","Yes",65,"Some college","West","County in metro area of 250,000 to 1 million population",150,1
"72220757","Inapplicable, coded 2 in WearableDevTrackHealth2",31,"Some college","South","County in metro area of fewer than 250,000 population",191,NA
"72220767","Inapplicable, coded 2 in WearableDevTrackHealth2",48,"College graduate","West","County in metro area with 1 million population or more",150,NA
"72220769","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","Northeast","County in metro area with 1 million population or more",-7,NA
"72220771","Inapplicable, coded 2 in WearableDevTrackHealth2",80,"Some college","South","County in metro area of fewer than 250,000 population",138,NA
"72220778","Inapplicable, coded 2 in WearableDevTrackHealth2",76,"Some college","West","County in metro area with 1 million population or more",240,NA
"72220780","Yes",67,"College graduate","South","County in metro area of 250,000 to 1 million population",228,1
"72220791","Inapplicable, coded 2 in WearableDevTrackHealth2",75,"12 years or completed high school","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",255,NA
"72220797","Inapplicable, coded 2 in WearableDevTrackHealth2",79,"Some college","South","County in metro area with 1 million population or more",150,NA
"72220798","Inapplicable, coded 2 in WearableDevTrackHealth2",27,"12 years or completed high school","South","County in metro area with 1 million population or more",123,NA
"72220806","Question answered in error (Commission Error)",74,"Some college","South","County in metro area of 250,000 to 1 million population",204,NA
"72220807","Inapplicable, coded 2 in WearableDevTrackHealth2",33,"Some college","South","County in metro area with 1 million population or more",186,NA
"72220815","Inapplicable, coded 2 in WearableDevTrackHealth2",53,"College graduate","South","County in metro area with 1 million population or more",150,NA
"72220816","Yes",26,"Postgraduate","Northeast","County in metro area with 1 million population or more",115,1
"72220827","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",210,NA
"72220831","Inapplicable, coded 2 in WearableDevTrackHealth2",33,"Some college","Midwest","County in metro area of 250,000 to 1 million population",191,NA
"72220833","Inapplicable, coded 2 in WearableDevTrackHealth2",76,"College graduate","South","County in metro area with 1 million population or more",188,NA
"72220835","Inapplicable, coded 2 in WearableDevTrackHealth2",63,"Some college","Midwest","County in metro area with 1 million population or more",225,NA
"72220839","Inapplicable, coded 2 in WearableDevTrackHealth2",61,"Some college","West","County in metro area of 250,000 to 1 million population",175,NA
"72220846","Inapplicable, coded 2 in WearableDevTrackHealth2",49,"Postgraduate","South","County in metro area with 1 million population or more",148,NA
"72220852","Inapplicable, coded 2 in WearableDevTrackHealth2",57,"Some college","South","County in metro area with 1 million population or more",230,NA
"72220855","Yes",23,"College graduate","South","County in metro area with 1 million population or more",105,1
"72220873","Yes",76,"Postgraduate","South","County in metro area of fewer than 250,000 population",180,1
"72220875","Yes",66,"12 years or completed high school","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",190,1
"72220876","Inapplicable, coded 2 in WearableDevTrackHealth2",74,"12 years or completed high school","South","County in metro area of 250,000 to 1 million population",140,NA
"72220877","Inapplicable, coded 2 in WearableDevTrackHealth2",49,"Some college","Midwest","County in metro area of 250,000 to 1 million population",113,NA
"72220884","Inapplicable, coded 2 in WearableDevTrackHealth2",56,"12 years or completed high school","South","County in metro area with 1 million population or more",170,NA
"72220885","No",27,"Some college","Midwest","County in metro area with 1 million population or more",115,0
"72220891","Question answered in error (Commission Error)",67,"Postgraduate","West","County in metro area with 1 million population or more",176,NA
"72220895","Yes",64,"12 years or completed high school","South","County in metro area with 1 million population or more",182,1
"72220898","No",47,"12 years or completed high school","South","County in metro area of 250,000 to 1 million population",245,0
"72220903","No",26,"College graduate","South","County in metro area with 1 million population or more",180,0
"72220904","Inapplicable, coded 2 in WearableDevTrackHealth2",43,"8 through 11 years","South","Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro a",190,NA
"72220906","Yes",29,"Postgraduate","South","County in metro area with 1 million population or more",185,1
"72220914","Yes",37,"Some college","South","County in metro area of 250,000 to 1 million population",245,1
"72220915","Yes",-7,"Missing data (Web partial - Question Never Seen)","Midwest","County in metro area of fewer than 250,000 population",226,1
"72220918","Yes",67,"College graduate","South","County in metro area with 1 million population or more",-9,1
"72220921","No",68,"College graduate","South","County in metro area with 1 million population or more",-9,0
"72220922","Yes",60,"Some college","Northeast","County in metro area with 1 million population or more",183,1
"72220931","Inapplicable, coded 2 in WearableDevTrackHealth2",77,"Some college","South","County in metro area with 1 million population or more",155,NA
"72220939","Inapplicable, coded 2 in WearableDevTrackHealth2",36,"College graduate","West","County in metro area with 1 million population or more",115,NA
"72220941","Yes",29,"College graduate","South","County in metro area with 1 million population or more",150,1
"72220942","No",26,"College graduate","West","County in metro area with 1 million population or more",165,0
"72220943","Inapplicable, coded 2 in WearableDevTrackHealth2",66,"College graduate","South","County in metro area of 250,000 to 1 million population",190,NA
"72220946","Question answered in error (Commission Error)",65,"8 through 11 years","South","County in metro area of fewer than 250,000 population",158,NA
"72220950","Inapplicable, coded 2 in WearableDevTrackHealth2",37,"Post high school training other than college (vocational or technical)","South","County in metro area of fewer than 250,000 population",165,NA
"72220960","Inapplicable, coded 2 in WearableDevTrackHealth2",66,"College graduate","South","County in metro area with 1 million population or more",108,NA
"72220962","Inapplicable, coded 2 in WearableDevTrackHealth2",18,"Some college","South","County in metro area with 1 million population or more",135,NA
"72220977","Inapplicable, coded 2 in WearableDevTrackHealth2",31,"12 years or completed high school","West","County in metro area with 1 million population or more",250,NA
"72220978","Inapplicable, coded 2 in WearableDevTrackHealth2",34,"College graduate","West","County in metro area with 1 million population or more",160,NA
"72220979","Inapplicable, coded 2 in WearableDevTrackHealth2",-4,"College graduate","South","County in metro area of 250,000 to 1 million population",115,NA
"72220981","Question answered in error (Commission Error)",67,"12 years or completed high school","South","County in metro area of fewer than 250,000 population",277,NA
"72220991","Inapplicable, coded 2 in WearableDevTrackHealth2",70,"Some college","South","County in metro area of fewer than 250,000 population",185,NA
"72220992","Yes",63,"Some college","West","County in metro area with 1 million population or more",177,1
"72221005","Yes",45,"College graduate","South","County in metro area of 250,000 to 1 million population",225,1
"72221015","Inapplicable, coded 2 in WearableDevTrackHealth2",67,"Some college","West","County in metro area with 1 million population or more",180,NA
"72221016","Yes",57,"12 years or completed high school","Midwest","County in metro area of 250,000 to 1 million population",189,1
"72221018","Inapplicable, coded 2 in WearableDevTrackHealth2",35,"12 years or completed high school","South","County in metro area with 1 million population or more",170,NA
"72221019","Inapplicable, coded 2 in WearableDevTrackHealth2",87,"Missing data (Not Ascertained)","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",136,NA
"72221021","Question answered in error (Commission Error)",86,"College graduate","South","County in metro area with 1 million population or more",130,NA
"72221023","No",66,"Some college","West","County in metro area of fewer than 250,000 population",215,0
"72221026","Inapplicable, coded 2 in WearableDevTrackHealth2",76,"8 through 11 years","West","County in metro area of 250,000 to 1 million population",145,NA
"72221027","Yes",68,"Post high school training other than college (vocational or technical)","West","County in metro area of fewer than 250,000 population",165,1
"72221028","Inapplicable, coded 2 in WearableDevTrackHealth2",92,"Less than 8 years","South","County in metro area with 1 million population or more",217,NA
"72221033","Question answered in error (Commission Error)",80,"12 years or completed high school","South","County in metro area of 250,000 to 1 million population",165,NA
"72221035","Inapplicable, coded 2 in WearableDevTrackHealth2",48,"College graduate","South","County in metro area of 250,000 to 1 million population",125,NA
"72221036","Yes",61,"Postgraduate","South","County in metro area with 1 million population or more",156,1
"72221038","Inapplicable, coded 2 in WearableDevTrackHealth2",69,"Postgraduate","South","County in metro area with 1 million population or more",130,NA
"72221041","Inapplicable, coded 2 in WearableDevTrackHealth2",32,"College graduate","South","County in metro area of 250,000 to 1 million population",182,NA
"72221049","Inapplicable, coded 2 in WearableDevTrackHealth2",18,"12 years or completed high school","Northeast","County in metro area of 250,000 to 1 million population",162,NA
"72221050","Inapplicable, coded 2 in WearableDevTrackHealth2",62,"College graduate","Midwest","County in metro area with 1 million population or more",165,NA
"72221054","Yes",-7,"Missing data (Web partial - Question Never Seen)","Northeast","County in metro area with 1 million population or more",-7,1
"72221055","Inapplicable, coded 2 in WearableDevTrackHealth2",54,"College graduate","Midwest","County in metro area with 1 million population or more",271,NA
"72221056","Inapplicable, coded 2 in WearableDevTrackHealth2",32,"8 through 11 years","Midwest","County in metro area with 1 million population or more",150,NA
"72221057","Inapplicable, coded 2 in WearableDevTrackHealth2",60,"College graduate","South","County in metro area of fewer than 250,000 population",170,NA
"72221062","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","Northeast","County in metro area with 1 million population or more",-7,NA
"72221064","Inapplicable, coded 2 in WearableDevTrackHealth2",63,"12 years or completed high school","Northeast","County in metro area of 250,000 to 1 million population",148,NA
"72221065","No",53,"Post high school training other than college (vocational or technical)","South","County in metro area of 250,000 to 1 million population",115,0
"72221066","Yes",40,"College graduate","South","Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro a",160,1
"72221067","Inapplicable, coded 2 in WearableDevTrackHealth2",67,"Some college","South","County in metro area with 1 million population or more",234,NA
"72221069","Inapplicable, coded 2 in WearableDevTrackHealth2",51,"12 years or completed high school","South","County in metro area of fewer than 250,000 population",187,NA
"72221071","Yes",26,"Some college","Midwest","County in metro area with 1 million population or more",145,1
"72221075","Yes",24,"College graduate","South","County in metro area with 1 million population or more",180,1
"72221086","Inapplicable, coded 2 in WearableDevTrackHealth2",23,"Some college","Northeast","County in metro area with 1 million population or more",123,NA
"72221088","Yes",69,"Some college","West","County in metro area of 250,000 to 1 million population",134,1
"72221090","Question answered in error (Commission Error)",72,"12 years or completed high school","South","County in metro area with 1 million population or more",130,NA
"72221097","Missing data (Filter Missing)",85,"Postgraduate","South","County in metro area with 1 million population or more",208,NA
"72221101","Inapplicable, coded 2 in WearableDevTrackHealth2",32,"Some college","Midwest","County in metro area with 1 million population or more",342,NA
"72221105","Inapplicable, coded 2 in WearableDevTrackHealth2",47,"12 years or completed high school","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",265,NA
"72221107","Inapplicable, coded 2 in WearableDevTrackHealth2",67,"12 years or completed high school","South","County in metro area of 250,000 to 1 million population",180,NA
"72221108","Inapplicable, coded 2 in WearableDevTrackHealth2",69,"Some college","South","County in metro area of fewer than 250,000 population",125,NA
"72221113","No",49,"College graduate","Northeast","County in metro area with 1 million population or more",160,0
